date,stock_code,action,quantity,price,amount,commission,total_cost,position_ratio,net_amount,avg_cost,return_rate,holding_days
2023-10-16,159941.SZ,rebalance_buy,800,3.345007019185774,2676.0056153486194,2.6760056153486196,2678.681620963968,0.1379479825260039,,,,
2023-10-16,510990.SH,rebalance_buy,2700,0.806,2176.2000000000003,2.1762,2178.3762,0.11218302302926242,,,,
2023-10-16,518880.SH,buy,86100,4.46,384006.0,384.00600000000003,384390.006,19.795493953393503,,,,
2023-10-17,518880.SH,sell,86100,4.48,385728.00000000006,385.72800000000007,,19.794604185559006,385342.27200000006,4.46,0.448430493273553,1.0
2023-10-17,159941.SZ,rebalance_sell,200,3.3689284043051004,673.7856808610201,0.6737856808610201,,0.03457700985808982,673.1118951801591,3.4133166983228005,-1.3004446390664866,28.0
2023-10-17,518680.SH,rebalance_sell,100,4.483,448.29999999999995,0.4483,,0.023005644019584007,447.85169999999994,4.395,2.0022753128555193,2.0
2023-10-17,510990.SH,rebalance_buy,400,0.809,323.6,0.32360000000000005,323.9236,0.016606349330219466,,,,
2023-10-17,513290.SH,buy,368400,1.047,385714.8,385.71479999999997,386100.5148,19.793926794300784,,,,
2023-10-18,159941.SZ,sell,114600,3.3489939167056617,383794.70285446884,383.7947028544688,,19.72791290220746,383410.90815161436,3.4133166983228005,-1.8844656767051537,29.0
2023-10-18,518680.SH,sell,86100,4.513,388569.3,388.5693,,19.97333795870149,388180.7307,4.395,2.6848691695108156,3.0
2023-10-18,510990.SH,sell,476800,0.805,383824.0,383.824,,19.72941884153133,383440.176,0.812957005033557,-0.978773168112187,3.0
2023-10-18,513290.SH,sell,368400,1.048,386083.2,386.08320000000003,,19.845546814369893,385697.1168,1.047,0.09551098376314346,1.0
2023-10-18,516210.SH,rebalance_buy,300,0.962,288.59999999999997,0.28859999999999997,288.88859999999994,0.014834690581271473,,,,
2023-10-18,513100.SH,buy,69500,5.530705346385106,384384.02157376485,384.38402157376487,384768.4055953386,19.75820521286064,,,,
2023-10-18,159937.SZ,buy,85000,4.526922020867656,384788.37177375075,384.7883717737508,385173.1601455245,19.77898972465297,,,,
2023-10-18,513090.SH,buy,349900,1.1,384890.00000000006,384.89000000000004,385274.8900000001,19.784213644579275,,,,
2023-10-18,159632.SZ,buy,303000,1.27,384810.0,384.81,385194.81,19.780101464237966,,,,
2023-10-19,159632.SZ,sell,303000,1.255,380264.99999999994,380.26499999999993,,19.800833978959723,379884.7349999999,1.27,-1.181102362204734,1.0
2023-10-19,159937.SZ,rebalance_sell,1500,4.552979132344865,6829.468698517298,6.8294686985172985,,0.35561825533205316,6822.639229818781,4.526922020867656,0.5756032765109395,1.0
2023-10-19,516210.SH,rebalance_buy,4400,0.94,4136.0,4.136,4140.136,0.21536625599773165,,,,
2023-10-19,513100.SH,rebalance_buy,100,5.461199175066082,546.1199175066082,0.5461199175066083,546.6660374241148,0.02843708944854649,,,,
2023-10-19,513090.SH,rebalance_buy,1100,1.083,1191.3,1.1913,1192.4913,0.06203235511849557,,,,
2023-10-19,159801.SZ,buy,400000,0.9504200047474926,380168.001898997,380.16800189899703,380548.16990089597,19.795783176771163,,,,
2023-10-20,159801.SZ,sell,400000,0.9324120467628033,372964.81870512135,372.96481870512133,,19.508747377327325,372591.85388641624,0.9504200047474926,-1.8947368421052533,1.0
2023-10-20,516210.SH,rebalance_sell,1300,0.939,1220.6999999999998,1.2207,,0.06385140562636252,1219.4792999999997,0.960706239144599,-2.259404411063884,10.0
2023-10-20,159937.SZ,rebalance_sell,1200,4.5990801757276225,5518.896210873147,5.518896210873146,,0.2886780376589305,5513.377314662273,4.526922020867656,1.5939783041841822,2.0
2023-10-20,513090.SH,rebalance_sell,2100,1.085,2278.5,2.2785,,0.11918196749378801,2276.2215,1.0999467236467237,-1.358858872470655,2.0
2023-10-20,513100.SH,rebalance_buy,500,5.39169300374706,2695.8465018735296,2.69584650187353,2698.542348375403,0.14101219668840603,,,,
2023-10-20,159632.SZ,buy,305200,1.24,378448.0,378.44800000000004,378826.448,19.795557267539646,,,,
2023-10-23,516210.SH,sell,403100,0.934,376495.4,376.4954,,19.866817037598167,376118.9046,0.960706239144599,-2.779854866809007,11.0
2023-10-23,159937.SZ,sell,82300,4.58104063701263,377019.6444261394,377.01964442613945,,19.8944802390532,376642.6247817133,4.526922020867656,1.195483728138117,3.0
2023-10-23,513090.SH,sell,348900,1.066,371927.4,371.92740000000003,,19.62577393261535,371555.47260000004,1.0999467236467237,-3.086215260878994,3.0
2023-10-23,159632.SZ,sell,305200,1.229,375090.80000000005,375.09080000000006,,19.792699448881255,374715.70920000004,1.24,-0.8870967741935403,1.0
2023-10-23,513100.SH,rebalance_sell,100,5.356939918087548,535.6939918087548,0.5356939918087549,,0.02826736933148491,535.1582978169461,5.529614664666832,-3.122726574107281,3.0
2023-10-23,512980.SH,buy,551300,0.68,374884.0,374.884,375258.884,19.781787077140788,,,,
2023-10-23,515880.SH,buy,379400,0.988,374847.2,374.84720000000004,375222.04720000003,19.779845223755636,,,,
2023-10-23,159869.SZ,buy,393000,0.954,374922.0,374.922,375296.922,19.783792251831976,,,,
