trade_date,ts_code,trade_type
2020-04-24,512880.SH,sell
2020-04-27,513600.SH,buy
2020-04-27,159937.SZ,buy
2020-04-27,518880.SH,buy
2020-04-27,510900.SH,buy
2020-04-27,512880.SH,buy
2020-04-27,518880.SH,sell
2020-04-27,510900.SH,sell
2020-04-27,513600.SH,sell
2020-04-27,512880.SH,sell
2020-04-27,159937.SZ,sell
2020-04-28,513600.SH,buy
2020-04-28,159937.SZ,buy
2020-04-28,518880.SH,buy
2020-04-28,510900.SH,buy
2020-04-28,510150.SH,buy
2020-04-28,159937.SZ,sell
2020-04-28,518880.SH,sell
2020-04-28,510900.SH,sell
2020-04-28,513600.SH,sell
2020-04-28,512880.SH,sell
2020-04-29,159937.SZ,buy
2020-04-29,518880.SH,buy
2020-04-29,510900.SH,buy
2020-04-29,510150.SH,buy
2020-04-29,513600.SH,buy
2020-04-29,518880.SH,sell
2020-04-29,510900.SH,sell
2020-04-29,159937.SZ,sell
2020-04-29,513600.SH,sell
2020-04-29,510150.SH,sell
2020-04-30,513600.SH,buy
2020-04-30,159934.SZ,buy
2020-04-30,518880.SH,buy
2020-04-30,510900.SH,buy
2020-04-30,512880.SH,buy
2020-04-30,518880.SH,sell
2020-04-30,510900.SH,sell
2020-04-30,159937.SZ,sell
2020-04-30,513600.SH,sell
2020-04-30,510150.SH,sell
2020-05-01,513050.SH,buy
2020-05-01,513600.SH,buy
2020-05-01,159934.SZ,buy
2020-05-01,518880.SH,buy
2020-05-01,510900.SH,buy
2020-05-01,518880.SH,sell
2020-05-01,513600.SH,sell
2020-05-01,159934.SZ,sell
2020-05-01,512880.SH,sell
2020-05-01,510900.SH,sell
2020-05-07,510900.SH,buy
2020-05-07,159934.SZ,buy
2020-05-07,513600.SH,buy
2020-05-07,510150.SH,buy
2020-05-07,518880.SH,buy
2020-05-07,518880.SH,sell
2020-05-07,510900.SH,sell
2020-05-07,513600.SH,sell
2020-05-07,159934.SZ,sell
2020-05-07,513050.SH,sell
2020-05-08,513600.SH,buy
2020-05-08,159934.SZ,buy
2020-05-08,518880.SH,buy
2020-05-08,510900.SH,buy
2020-05-08,510150.SH,buy
2020-05-08,510150.SH,sell
2020-05-08,518880.SH,sell
2020-05-08,510900.SH,sell
2020-05-08,513600.SH,sell
2020-05-08,159934.SZ,sell
2020-05-11,513600.SH,buy
2020-05-11,159934.SZ,buy
2020-05-11,518880.SH,buy
2020-05-11,510900.SH,buy
2020-05-11,510150.SH,buy
2020-05-11,510150.SH,sell
2020-05-11,518880.SH,sell
2020-05-11,510900.SH,sell
2020-05-11,513600.SH,sell
2020-05-11,159934.SZ,sell
2020-05-12,513600.SH,buy
2020-05-12,159937.SZ,buy
2020-05-12,159934.SZ,buy
2020-05-12,510900.SH,buy
2020-05-12,510150.SH,buy
2020-05-12,510150.SH,sell
2020-05-12,518880.SH,sell
2020-05-12,510900.SH,sell
2020-05-12,513600.SH,sell
2020-05-12,159934.SZ,sell
2020-05-13,159937.SZ,buy
2020-05-13,159934.SZ,buy
2020-05-13,510900.SH,buy
2020-05-13,510150.SH,buy
2020-05-13,513600.SH,buy
2020-05-13,510900.SH,sell
2020-05-13,159937.SZ,sell
2020-05-13,513600.SH,sell
2020-05-13,159934.SZ,sell
2020-05-13,510150.SH,sell
2020-05-14,513050.SH,buy
2020-05-14,159937.SZ,buy
2020-05-14,159934.SZ,buy
2020-05-14,518800.SH,buy
2020-05-14,510150.SH,buy
2020-05-14,510150.SH,sell
2020-05-14,510900.SH,sell
2020-05-14,159937.SZ,sell
2020-05-14,513600.SH,sell
2020-05-14,159934.SZ,sell
2020-05-15,159937.SZ,buy
2020-05-15,159934.SZ,buy
2020-05-15,518800.SH,buy
2020-05-15,510150.SH,buy
2020-05-15,513050.SH,buy
2020-05-15,518800.SH,sell
2020-05-15,513050.SH,sell
2020-05-15,159937.SZ,sell
2020-05-15,159934.SZ,sell
2020-05-15,510150.SH,sell
2020-05-18,159937.SZ,buy
2020-05-18,159934.SZ,buy
2020-05-18,518800.SH,buy
2020-05-18,510150.SH,buy
2020-05-18,510580.SH,buy
2020-05-18,518800.SH,sell
2020-05-18,513050.SH,sell
2020-05-18,159937.SZ,sell
2020-05-18,159934.SZ,sell
2020-05-18,510150.SH,sell
2020-05-19,510580.SH,buy
2020-05-19,159937.SZ,buy
2020-05-19,159934.SZ,buy
2020-05-19,518800.SH,buy
2020-05-19,510150.SH,buy
2020-05-19,510150.SH,sell
2020-05-19,159937.SZ,sell
2020-05-19,510580.SH,sell
2020-05-19,159934.SZ,sell
2020-05-19,518800.SH,sell
2020-05-20,518800.SH,buy
2020-05-20,159937.SZ,buy
2020-05-20,159934.SZ,buy
2020-05-20,510150.SH,buy
2020-05-20,510580.SH,buy
2020-05-20,518800.SH,sell
2020-05-20,159934.SZ,sell
2020-05-20,510150.SH,sell
2020-05-20,159937.SZ,sell
2020-05-20,510580.SH,sell
2020-05-21,159934.SZ,sell
2020-05-21,510580.SH,sell
2020-05-21,159937.SZ,sell
2020-05-21,518800.SH,sell
2020-05-21,510150.SH,sell
2020-05-21,510150.SH,buy
2020-05-21,518800.SH,buy
2020-05-21,159934.SZ,buy
2020-05-21,159937.SZ,buy
2020-05-21,510580.SH,buy
2020-05-22,159937.SZ,buy
2020-05-22,159934.SZ,buy
2020-05-22,518800.SH,buy
2020-05-22,510150.SH,buy
2020-05-22,510580.SH,buy
2020-05-22,518800.SH,sell
2020-05-22,159937.SZ,sell
2020-05-22,510580.SH,sell
2020-05-22,159934.SZ,sell
2020-05-22,510150.SH,sell
2020-05-25,159937.SZ,buy
2020-05-25,159934.SZ,buy
2020-05-25,518800.SH,buy
2020-05-25,510150.SH,buy
2020-05-25,510580.SH,buy
2020-05-25,518800.SH,sell
2020-05-25,510150.SH,sell
2020-05-25,159934.SZ,sell
2020-05-25,510580.SH,sell
2020-05-25,159937.SZ,sell
2020-05-26,159934.SZ,sell
2020-05-26,510580.SH,sell
2020-05-26,159937.SZ,sell
2020-05-26,518800.SH,sell
2020-05-26,510150.SH,buy
2020-05-26,518800.SH,buy
2020-05-26,159934.SZ,buy
2020-05-26,159937.SZ,buy
2020-05-26,510580.SH,buy
2020-05-26,510150.SH,sell
2020-05-27,518800.SH,buy
2020-05-27,510580.SH,buy
2020-05-27,159937.SZ,buy
2020-05-27,159934.SZ,buy
2020-05-27,512260.SH,buy
2020-05-27,510150.SH,sell
2020-05-27,159937.SZ,sell
2020-05-27,510580.SH,sell
2020-05-27,159934.SZ,sell
2020-05-27,518800.SH,sell
2020-05-28,512260.SH,buy
2020-05-28,510580.SH,buy
2020-05-28,159937.SZ,buy
2020-05-28,159934.SZ,buy
2020-05-28,518800.SH,buy
2020-05-28,518800.SH,sell
