trade_date,ts_code
2020-09-21,SH600444
2020-09-21,SH600506
2020-09-28,SZ000586
2020-09-28,SZ000702
2020-09-28,SH600137
2020-09-28,SH603286
2020-09-28,SH600768
2020-09-28,SH603908
2020-09-28,SH512890
2020-09-28,SH600444
2020-09-28,SH600506
2020-09-28,SH600128
2020-10-12,SZ000702
2020-10-12,SH600137
2020-10-12,SH603286
2020-10-12,SH600768
2020-10-12,SH603908
2020-10-12,SH603813
2020-10-12,SH512890
2020-10-12,SH600444
2020-10-12,SH603729
2020-10-12,SH600455
2020-10-19,SH603320
2020-10-19,SZ000702
2020-10-19,SZ000622
2020-10-19,SH600137
2020-10-19,SH603286
2020-10-19,SH600768
2020-10-19,SH600202
2020-10-19,SH512890
2020-10-19,SH600444
2020-10-19,SH603729
2020-10-26,SZ002843
2020-10-26,SZ000702
2020-10-26,SZ000622
2020-10-26,SH600137
2020-10-26,SH603286
2020-10-26,SH600202
2020-10-26,SH603356
2020-10-26,SH512890
2020-10-26,SH600444
2020-10-26,SH600455
2020-11-02,SZ000702
2020-11-02,SZ000622
2020-11-02,SH603286
2020-11-02,SZ002209
2020-11-02,SH600768
2020-11-02,SH600202
2020-11-02,SH512890
2020-11-02,SH600444
2020-11-02,SH603729
2020-11-02,SH600455
2020-11-09,SZ000702
2020-11-09,SH603286
2020-11-09,SH600099
2020-11-09,SH600768
2020-11-09,SH600202
2020-11-09,SH512890
2020-11-09,SH600444
2020-11-09,SH603269
2020-11-09,SH603729
2020-11-09,SH600455
2020-11-16,SZ000702
2020-11-16,SH600137
2020-11-16,SH600099
2020-11-16,SH600768
2020-11-16,SH603813
2020-11-16,SH512890
2020-11-16,SH600444
2020-11-16,SH603269
2020-11-16,SH603729
2020-11-16,SH600455
2020-11-23,SZ000702
2020-11-23,SH600099
2020-11-23,SZ002857
2020-11-23,SH603813
2020-11-23,SH603729
2020-11-23,SH512890
2020-11-23,SH600444
2020-11-23,SH603269
2020-11-23,SH600506
2020-11-23,SH600455
2020-11-30,SZ000702
2020-11-30,SH600137
2020-11-30,SH603813
2020-11-30,SH603729
2020-11-30,SH512890
2020-11-30,SH600444
2020-11-30,SH603269
2020-11-30,SH600506
2020-11-30,SZ002800
2020-11-30,SH600455
2020-12-07,SZ000586
2020-12-07,SH600302
2020-12-07,SH600137
2020-12-07,SH603813
2020-12-07,SH603729
2020-12-07,SH512890
2020-12-07,SH603269
2020-12-07,SH600506
2020-12-07,SZ002800
2020-12-07,SH600455
2020-12-14,SZ000586
2020-12-14,SH600302
2020-12-14,SH600137
2020-12-14,SH603813
2020-12-14,SH603729
2020-12-14,SH512890
2020-12-14,SH600444
2020-12-14,SH603269
2020-12-14,SH600506
2020-12-14,SH600455
2020-12-21,SH600137
2020-12-21,SH603813
2020-12-21,SH603729
2020-12-21,SH512890
2020-12-21,SH600444
2020-12-21,SH600493
2020-12-21,SH603269
2020-12-21,SH600302
2020-12-21,SZ002800
2020-12-21,SH600455
2020-12-28,SZ000586
2020-12-28,SH600137
2020-12-28,SH603813
2020-12-28,SH512890
2020-12-28,SH600444
2020-12-28,SH600493
2020-12-28,SH603269
2020-12-28,SH603729
2020-12-28,SZ002800
2020-12-28,SH600455
2021-01-04,SH603725
2021-01-04,SH600137
2021-01-04,SH600099
2021-01-04,SH603813
2021-01-04,SH512890
2021-01-04,SH600444
2021-01-04,SH600493
2021-01-04,SH603269
2021-01-04,SH603729
2021-01-04,SH600455
2021-01-11,SZ000586
2021-01-11,SH600137
2021-01-11,SH600099
2021-01-11,SH600768
2021-01-11,SH603813
2021-01-11,SH512890
2021-01-11,SH600444
2021-01-11,SH600493
2021-01-11,SH603269
2021-01-11,SH600455
2021-01-18,SZ000586
2021-01-18,SH603286
2021-01-18,SH600099
2021-01-18,SZ002209
2021-01-18,SH600768
2021-01-18,SH603813
2021-01-18,SH512890
2021-01-18,SH600493
2021-01-18,SH603269
2021-01-18,SH600455
2021-01-25,SH603286
2021-01-25,SH600099
2021-01-25,SZ002209
2021-01-25,SH600768
2021-01-25,SH603316
2021-01-25,SH603813
2021-01-25,SH512890
2021-01-25,SH600493
2021-01-25,SH603269
2021-01-25,SH600455
2021-02-01,SH603320
2021-02-01,SH603286
2021-02-01,SZ002209
2021-02-01,SH603316
2021-02-01,SH603813
2021-02-01,SH512890
2021-02-01,SH600493
2021-02-01,SH603269
2021-02-01,SZ002800
2021-02-01,SH600455
2021-02-08,SH603320
2021-02-08,SH603286
2021-02-08,SZ002209
2021-02-08,SH600768
2021-02-08,SH603316
2021-02-08,SH603813
2021-02-08,SH512890
2021-02-08,SH600493
2021-02-08,SH603269
2021-02-08,SH600455
2021-02-22,SH603320
2021-02-22,SZ300553
2021-02-22,SH603286
2021-02-22,SZ002209
2021-02-22,SH603813
2021-02-22,SH512890
2021-02-22,SH600493
2021-02-22,SH603269
2021-02-22,SH600506
2021-02-22,SH600455
2021-03-01,SH603320
2021-03-01,SZ300553
2021-03-01,SH603286
2021-03-01,SH600137
2021-03-01,SH603813
2021-03-01,SH512890
2021-03-01,SH600493
2021-03-01,SH603269
2021-03-01,SZ002800
2021-03-01,SH600455
2021-03-08,SH603320
2021-03-08,SH603286
2021-03-08,SH600137
2021-03-08,SH603090
2021-03-08,SH603316
2021-03-08,SH603813
2021-03-08,SH512890
2021-03-08,SH600493
2021-03-08,SH603269
2021-03-08,SZ002800
2021-03-15,SH603320
2021-03-15,SH603286
2021-03-15,SH600137
2021-03-15,SH603090
2021-03-15,SH603813
2021-03-15,SH512890
2021-03-15,SH600444
2021-03-15,SH600493
2021-03-15,SH603269
2021-03-15,SZ002800
2021-03-22,SH603320
2021-03-22,SZ000586
2021-03-22,SH600847
2021-03-22,SH600099
2021-03-22,SZ002209
2021-03-22,SH603813
2021-03-22,SH512890
2021-03-22,SH600444
2021-03-22,SH600493
2021-03-22,SH603269
2021-03-29,SH603320
2021-03-29,SH600847
2021-03-29,SH600099
2021-03-29,SH600768
2021-03-29,SH603813
2021-03-29,SH512890
2021-03-29,SZ300535
2021-03-29,SH600444
2021-03-29,SH600493
2021-03-29,SH603269
2021-04-06,SH603286
2021-04-06,SZ300700
2021-04-06,SZ002209
2021-04-06,SH600768
2021-04-06,SH603813
2021-04-06,SH512890
2021-04-06,SZ300535
2021-04-06,SH600444
2021-04-06,SH600493
2021-04-06,SH603269
2021-04-12,SH600847
2021-04-12,SH603286
2021-04-12,SZ300700
2021-04-12,SH600768
2021-04-12,SH603813
2021-04-12,SZ300535
2021-04-12,SH512890
2021-04-12,SH600444
2021-04-12,SH600493
2021-04-12,SH603269
2021-04-19,SZ000702
2021-04-19,SZ300700
2021-04-19,SH603286
2021-04-19,SH600768
2021-04-19,SZ300668
2021-04-19,SH512890
2021-04-19,SH600444
2021-04-19,SH600493
2021-04-19,SH603729
2021-04-19,SH600455
2021-04-26,SH603286
2021-04-26,SZ300700
2021-04-26,SH600768
2021-04-26,SZ300668
2021-04-26,SH603813
2021-04-26,SH512890
2021-04-26,SH600444
2021-04-26,SH600493
2021-04-26,SH603729
2021-04-26,SH600455
2021-05-06,SH603286
2021-05-06,SH600137
2021-05-06,SH603090
2021-05-06,SZ002633
2021-05-06,SZ300668
2021-05-06,SH603813
2021-05-06,SH603029
2021-05-06,SH512890
2021-05-06,SZ300535
2021-05-06,SH600444
2021-05-10,SZ000586
2021-05-10,SZ300553
2021-05-10,SH603286
2021-05-10,SH603090
2021-05-10,SZ300668
2021-05-10,SH603813
2021-05-10,SH603029
2021-05-10,SH512890
2021-05-10,SZ300535
2021-05-10,SH600444
2021-05-17,SZ300553
2021-05-17,SH603286
2021-05-17,SH603090
2021-05-17,SZ002633
2021-05-17,SZ300668
2021-05-17,SH603813
2021-05-17,SH603029
2021-05-17,SH512890
2021-05-17,SZ300535
2021-05-17,SH600444
2021-05-24,SZ000586
2021-05-24,SZ300553
2021-05-24,SH603286
2021-05-24,SH603090
2021-05-24,SZ300668
2021-05-24,SH603813
2021-05-24,SH603029
2021-05-24,SH512890
2021-05-24,SZ300535
2021-05-24,SH603958
2021-05-31,SZ000586
2021-05-31,SH603286
2021-05-31,SH600099
2021-05-31,SZ002633
2021-05-31,SH603813
2021-05-31,SH603029
2021-05-31,SH512890
2021-05-31,SZ300535
2021-05-31,SH603958
2021-05-31,SH600455
2021-06-07,SH603286
2021-06-07,SH600099
2021-06-07,SH603090
2021-06-07,SZ300668
2021-06-07,SH603813
2021-06-07,SH603029
2021-06-07,SH512890
2021-06-07,SZ300535
2021-06-07,SH603269
2021-06-07,SH600455
2021-06-15,SH603286
2021-06-15,SH600099
2021-06-15,SZ002633
2021-06-15,SZ300668
2021-06-15,SH603813
2021-06-15,SH603029
2021-06-15,SH512890
2021-06-15,SZ300535
2021-06-15,SH603269
2021-06-15,SZ002800
2021-06-15,SH600455
2021-06-21,SH603286
2021-06-21,SH600099
2021-06-21,SZ002209
2021-06-21,SZ002633
2021-06-21,SZ300668
2021-06-21,SH603813
2021-06-21,SH603029
2021-06-21,SH512890
2021-06-21,SH603269
2021-06-21,SZ002800
2021-06-21,SH600455
2021-06-28,SZ000586
2021-06-28,SH600778
2021-06-28,SH603286
2021-06-28,SZ002209
2021-06-28,SZ002633
2021-06-28,SH603813
2021-06-28,SH603029
2021-06-28,SH512890
2021-06-28,SH603269
2021-06-28,SZ002800
2021-06-28,SH600455
2021-07-05,SH600099
2021-07-05,SZ002209
2021-07-05,SH603813
2021-07-05,SH603029
2021-07-05,SH512890
2021-07-05,SZ002112
2021-07-05,SH600493
2021-07-05,SH603269
2021-07-05,SZ002800
2021-07-05,SH600455
2021-07-12,SH600099
2021-07-12,SZ002209
2021-07-12,SH603813
2021-07-12,SH512890
2021-07-12,SH600689
2021-07-12,SH600493
2021-07-12,SH603269
2021-07-12,SH600719
2021-07-12,SZ002800
2021-07-12,SH600455
2021-07-19,SZ002209
2021-07-19,SZ002836
2021-07-19,SH603813
2021-07-19,SH512890
2021-07-19,SH600689
2021-07-19,SH600493
2021-07-19,SH603269
2021-07-19,SH600719
2021-07-19,SZ002800
2021-07-19,SH600455
2021-07-26,SZ002883
2021-07-26,SH603813
2021-07-26,SH512890
2021-07-26,SH600689
2021-07-26,SH603709
2021-07-26,SH600493
2021-07-26,SH603269
2021-07-26,SH600719
2021-07-26,SZ002800
2021-07-26,SH600455
2021-08-02,SH603316
2021-08-02,SZ002883
2021-08-02,SH512890
